variable,label
S2401_C01_015E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
S2401_C01_016E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
S2401_C01_017E,"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
S2401_C01_018E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:
S2401_C01_019E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations
S2401_C01_020E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:
S2401_C01_021E,"Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
S2401_C01_022E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors
S2401_C01_023E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations
S2401_C01_024E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations
S2401_C01_025E,Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations
S2401_C01_026E,Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:
S2401_C01_027E,Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations
S2401_C01_028E,Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations
S2401_C01_029E,"Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
S2401_C01_030E,"Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
S2401_C01_031E,"Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
S2401_C01_032E,"Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
S2401_C01_033E,"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
S2401_C01_034E,"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
S2401_C01_035E,"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
S2401_C01_036E,"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
S2401_C02_001E,Estimate!!Male!!Civilian employed population 16 years and over
S2401_C02_002E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
S2401_C02_003E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
S2401_C02_004E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
S2401_C02_005E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
S2401_C02_006E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
S2401_C02_007E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
S2401_C02_008E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
S2401_C02_009E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
S2401_C02_010E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
S2401_C02_011E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
S2401_C02_012E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
S2401_C02_013E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
S2401_C02_014E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
S2401_C02_015E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
S2401_C02_016E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
S2401_C02_017E,"Estimate!!Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
S2401_C02_018E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:
S2401_C02_019E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations
S2401_C02_020E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:
S2401_C02_021E,"Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
S2401_C02_022E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors
S2401_C02_023E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations
S2401_C02_024E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations
S2401_C02_025E,Estimate!!Male!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations
S2401_C02_026E,Estimate!!Male!!Civilian employed population 16 years and over!!Sales and office occupations:
S2401_C02_027E,Estimate!!Male!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations
S2401_C02_028E,Estimate!!Male!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations
S2401_C02_029E,"Estimate!!Male!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
S2401_C02_030E,"Estimate!!Male!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
S2401_C02_031E,"Estimate!!Male!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
S2401_C02_032E,"Estimate!!Male!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
S2401_C02_033E,"Estimate!!Male!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
S2401_C02_034E,"Estimate!!Male!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
S2401_C02_035E,"Estimate!!Male!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
S2401_C02_036E,"Estimate!!Male!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
S2401_C04_001E,Estimate!!Female!!Civilian employed population 16 years and over
S2401_C04_002E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
S2401_C04_003E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
S2401_C04_004E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
S2401_C04_005E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
S2401_C04_006E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
S2401_C04_007E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
S2401_C04_008E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
S2401_C04_009E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations"
S2401_C04_010E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:"
S2401_C04_011E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations"
S2401_C04_012E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations"
S2401_C04_013E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations"
S2401_C04_014E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations"
S2401_C04_015E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:"
S2401_C04_016E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations"
S2401_C04_017E,"Estimate!!Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians"
S2401_C04_018E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:
S2401_C04_019E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Healthcare support occupations
S2401_C04_020E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:
S2401_C04_021E,"Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors"
S2401_C04_022E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors
S2401_C04_023E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Food preparation and serving related occupations
S2401_C04_024E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Building and grounds cleaning and maintenance occupations
S2401_C04_025E,Estimate!!Female!!Civilian employed population 16 years and over!!Service occupations:!!Personal care and service occupations
S2401_C04_026E,Estimate!!Female!!Civilian employed population 16 years and over!!Sales and office occupations:
S2401_C04_027E,Estimate!!Female!!Civilian employed population 16 years and over!!Sales and office occupations:!!Sales and related occupations
S2401_C04_028E,Estimate!!Female!!Civilian employed population 16 years and over!!Sales and office occupations:!!Office and administrative support occupations
S2401_C04_029E,"Estimate!!Female!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:"
S2401_C04_030E,"Estimate!!Female!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
S2401_C04_031E,"Estimate!!Female!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
S2401_C04_032E,"Estimate!!Female!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
S2401_C04_033E,"Estimate!!Female!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:"
S2401_C04_034E,"Estimate!!Female!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Production occupations"
S2401_C04_035E,"Estimate!!Female!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Transportation occupations"
S2401_C04_036E,"Estimate!!Female!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations:!!Material moving occupations"
